Key,Id,Shared Comments,Croatian (Croatia)(hr-HR),Croatian (Croatia)(hr-HR) Comments,English (United States)(en-US),English (United States)(en-US) Comments,German (Germany)(de-DE),German (Germany)(de-DE) Comments,Indonesian (Indonesia)(id-ID),Indonesian (Indonesia)(id-ID) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments,Custom(nya-UWU),Custom(nya-UWU) Comments,Polish(pl),Polish(pl) Comments,Russian (Russia)(ru-RU),Russian (Russia)(ru-RU) Comments,"Serbian (Cyrillic, Serbia)(sr-Cyrl-RS)","Serbian (Cyrillic, Serbia)(sr-Cyrl-RS) Comments",Vietnamese (Vietnam)(vi-VN),Vietnamese (Vietnam)(vi-VN) Comments,Custom(ze-ZE),Custom(ze-ZE) Comments,Czech(cs),Czech(cs) Comments,French(fr),French(fr) Comments,Italian(it),Italian(it) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments,Spanish(es),Spanish(es) Comments
"Mouse wheel volume shortcut",17375896367104,"","Prečac kotača miša za promjenu glasnoće","","Mouse wheel volume shortcut","","Lautstärke mit dem Mausrad ändern","","Pintasan tombol volume roda gulir","","マウスオイールの音量ショートカット","","Mow wheel loud!","","Skrót do głośności na kółku myszki","","Изменение громкости с помощью колёсика мыши","","Пречац котаћа миша за промену гласноће","","Chỉnh âm thanh bằng con lăn","","Mouse whél volúma skortón","","Hlasitost na kolečku myši","","Raccourci de volume de la molette de la souris","","Scorciatoia del volume della rotellina del mouse","","Scroll do mouse para volume","","Atajo de volúmen con la rueda del mouse",""
"Random song on startup",17977820934144,"","Nasumična pjesma na startu","","Random song on startup","","zufälliges Lied beim Start","","Lagu acak saat mulai permainan ","","開始のランドムの曲","","Random meows!","","Losowa piosenka na starcie","","Случайная песня при запуске","","Насумична песма на старту","","Bài nhạc khởi động ngẫu nhiên","","Rándom sólíra dó start","","Náhodná hudba při spuštění","","Chanson aléatoire au démarrage","","Canzone casuale all'avvio","","Música aleatória na inicialização","","Canción aleatoria al comienzo del juego",""
"Language",18405602193408,"","Jezik","","Language","","Sprache","","Bahasa","","言語","","meow!!","","Język","","Язык","","Језик","","Ngôn ngữ","","Lingvá","","Jazyk","","Langue","","Lingua","","Idioma","","Idioma",""
"Performance settings",25210185150464,"","Opcije performanse","","Performance settings","","Leistungs Einstellungen","","Pengaturan Performa","","性能設定","","Perfomance meows","","Ustawienia wydajności","","Настройки производительности","","Поставке перформансе","","Cài đặt hiệu năng","","Skeytár performánka","","Nastavení výkonu","","Paramètres de performances","","Impostazioni delle prestazioni","","Configurações de performance","","Configuración - Rendimiento",""
"Resolution",25549747613696,"","Rezolucija","","Resolution","","Auflösung","","Resolusi","","解像度","","meow the res","","Rozdzielczość","","Разрешение","","Резолуција","","Độ phân giải","","Rezolutíon","","Rozlišení","","Résolution","","Risoluzione","","Resolução","","Resolución",""
"Max FPS (0-999)",25997023997952,"","Maks. FPS (0-999)","","Max FPS (0-999)","","Maximale FPS (0-999)","","Max FPS (0-999)","","最大FPS (0-999)","","smooth meows","","Maks. FPS (0-999)","","Максимальный ФПС (0-999)","","Максимални FPS (0-999)","","FPS cao nhất (0-999)","","FPS maxar (0-999)","","Max FPS (0-999)","","FPS max (0-999)","","FPS massimi (0-999)","","FPS Máximo (0-999)","","FPS máximos (0-999)",""
"Show FPS Counter",26351287496704,"","Pokaži mjerilo FPS-a","","Show FPS Counter","","Zeige FPS Zähler","","tunjukkan fps counter","","FPSカウンターを見せる","","show smooths","","pokaż ilość FPS-ów","","Показывать счётчик ФПС","","Покажи FPS мерило","","Hiện FPS","","Dísplar FPS numor","","Ukazovat FPS","","Afficher le compteur FPS","","Mostra contatore FPS","","Exibir contador de FPS","","Mostrar el contador de FPS",""
"VSync",26584625016832,"","VSync","","VSync","","VSync","","VSync","","垂直同期","","vsync :3","","VSync","","Вертикальная синхронизация","","VSync","","VSync","","V-Sinká","","VSync","","Synchronisation verticale","","Sincronizzazione verticale","","VSync","","VSync",""
"Audio settings",28874199101440,"","Audio postavke","","Audio settings","","Audio Einstellungen","","Pengaturan Audio","","オーディオ設定","","Song settingz!!","","Ustawienia dźwięku","","Настройки звука","","Поставке звука","","Cài đặt âm thanh","","Skeytár audióra","","Nastavení zvuku","","Paramètres audio","","Impostazioni audio","","Configurações de áudio","","Configuración - Audio",""
"(LOUD!) Increase max volume by 20",29060447170560,"","<color=red>(GLASNO!)</color> Povećaj maksimalnu glasnoću za 20","","<color=red>(LOUD!)</color> Increase max volume by 20","","<color=red>(LAUT!)</color> Erhöhe die maximale Lautstäke um 20","","<color=red>(KERAS!)</color> Tingkatkan volume maksimal sebesar 20","","<color=red>(煩い!)</color> 大体音量を20上げる","","<color=red>LOUD!</color> Upmeow max meows by 20!","","<color=red>(UWAGA - GŁOŚNE!)</color> Zwiększ maksymalną ","","<color=red>(ГРОМКО!)</color> Увеличить максимальную громкость на 20","","<color=red>(ГЛАСНО!)</color> Повећај максималну гласноћу за 20","","<color=red>(CÓ THỂ GÂY ỒN!!!)</color> Tăng âm thanh tối đa bằng 20%","","<color=red>(GLOBÁR!)</color> Volúma maxar ar detron 20","","<color=red>(HLASITÉ!)</color> Zvětšit maximální hlasitost o 20","","<color=red>(FORT !)</color> Augmentez le volume maximum de 20","","<color=red>(FORTE!)</color> Aumenta il volume massimo di 20","","<color=red>(ALTO!)</color> Aumentar o volume máximo em 20","","<color=red>(¡RUIDOSO Y FUERTE!)</color> Aumentar el volúmen máximo por 20",""
"Master volume",29990836072448,"","Glasnoća igre","","Master volume","","Master Lautstärke","","Volume Utama","","マスター音量","","Master meows","","Głośność główna","","Общая громкость","","Гласноћа игре","","Âm thanh cửa sộ","","Volúma régal","","Hlavní hlasitost","","Volume principal","","Volume principale","","Volume geral","","Volúmen General",""
"Lowpass effect value",30263662964736,"","Jačina učinka lowpass","","Lowpass effect value","","Tiefpasseffektwert","","Volume efek lowpass","","ローパスフィルタの高さ","","Mreow lowpsas","","Wartość efektu dolnoprzepustowego","","Значение эффекта нижних частот (Low-pass)","","Валута ефекта Lowpass","","Nhập giá trị bộ lọc Low-pass","","Éfekta Lópás numor","","Hodnota efektu lowpassu","","Valeur de l'effet passe-bas","","Valore dell'effetto passa-basso","","Efeito de passo baixo","","Efecto del filtro de frecuencias",""
"Shuffle your music playlist",30665745723392,"","Promiješaj plejlistu","","Shuffle your music playlist","","Shuffle Playlist erneut","","Acak ulang playlist","","プレイリストをシャフル直す","","shuffle meows the mweow","","Przetasuj playlistę ponownie","","Перемешать плейлист","","Помешај плејлисту","","Xáo trộn lại playlist","","Reshúfa dó plalistár","","Zamíchat playlist","","Mélangez votre liste de lecture musicale","","Riproduzione casuale della playlist musicale","","Re-embaralhar playlist","","Re-ordenar la playlist",""
"Open playlist folder",31021686943744,"","Otvori plejlist mapu","","Open playlist folder","","Öffne Playlist Ordner","","Buka folder playlist ","","プレイリストフォルダを開く","","mrrp?","","Otwórz folder playlisty","","Открыть папку плейлиста","","Отвори мапу плејлисте","","Mở thư mục playlist","","Ópen plalistár faldér","","Otevřít složku playlistu","","Ouvrir le dossier de la playlist","","Apri cartella playlist","","Abrir pasta de playlist","","Abrir la carpeta de la playlist",""
"Gameplay settings",32798117294080,"","Postavke igranja","","Gameplay settings","","Gameplay Einstellungen","","Pengaturan dalam permainan ","","ゲームプレイ設定","","Game meows!","","Ustawienia rozgrywki","","Настройки игры","","Поставке играња","","Cài đặt gameplay","","Skeytár gameplara","","Nastavení hry","","Paramètres de jeu","","Impostazioni di gioco","","Configurações de gameplay","","Configuración - Gameplay",""
"Background visibility",33307360325632,"","Vidljivost pozadine","","Background visibility","","Hintergrundsichtbarkeit","","Visibilitas latar belakang ","","背景可視","","see meow bg!","","Widoczność tła","","Видимость заднего фона","","Видљивост позадине","","Mức hiển thị background","","Fundaská visíon","","Viditelnost pozadí","","Visibilité de l'arrière-plan","","Visibilità dello sfondo","","Visibilidade do background","","Visibilidad del fondo",""
"Hit notes",33955585814528,"","Note udara","","Hit notes","","Treffer Noten","","Penilaian ketuk","","ノートを当たる","","booom","","Punkty trafień","","Нота при попадании","","Ноте удара","","Nốt đã bấm","","Híta nótón","","Noty","","Notes de hit","","Note di successo","","Hit notes","","Notas tocadas",""
"Sound effects",34381060206592,"","Zvukovni efekti","","Sound effects","","Soundeffekte","","Efek suara","","効果音 ","","noise meow??!","","Efekty dźwiękowe","","Звуковые эффекты","","Звучни ефекти","","Hiệu ứng âm thanh (SFX)","","Éfekta dó sonár","","Zvukové efekty","","Bruitage","","Effetti sonori","","Efeitos sonoros","","Efectos de sonido",""
"Character Type",34707171536896,"","Tip lika","","Character Type","","Charakter","","Tipe Karakter","","キャラクタータイプ","","new meow!!","","Typ postaci","","Тип персонажа","","Тип карактера","","Character type","","Tipá dó karaktar","","Typ postavy","","Type de caractère","","Tipo di carattere","","Tipo de personagem","","Tipo de personaje",""
"Hit note textures",35511366414336,"","Tekstura udarne note","","Hit note textures	","","Treffer Noten Texturen","","Tekstur not ketuk","","ノート当たりテクスチャ","","texture of merow","","Tekstury punktów trafień","","Текстуры нот при попадании","","Текстуре ноти удара","","Hình ảnh nốt đã bấm","","Textúran dó nótón","","Textury pro noty","","Textures des notes de frappe","","Texture delle note di successo","","Texturas de hitnotes","","Texturas de nota tocada",""
"Menu settings",35901868699648,"","Postavke izbornika","","Menu settings","","Menü Einstellungen","","Pengaturan menu","","メニュー設定","","Menu meows!","","Ustawienia menu","","Настройки меню","","Поставке мену-а","","Cài đặt menu","","Skeytár menúra","","Nastavení menu","","Paramètres du menu","","Impostazioni del menu","","Configurações de menu","","Configuración - Menú",""
"Background Type",36120773619712,"","Tip pozadine","","Background Type","","Hintergrund Typ","","Tipe background","","拝啓タイプ","","Meow types?!","","Typ tła","","Задний фон","","Тип позадине","","Loại Background","","Tipá dó fundaská","","Typ pozadí","","Type d'arrière-plan","","Tipo di sfondo","","Tipo de background","","Tipo de Fondo",""
"Background Change Time",37224538271744,"","Vrijeme promjene pozadine","","Background Change Time","","Hintergrund änderungs Zei","","Waktu background berubah","","拝啓変わり時","","Meow change time","","Czas zmiany tła","","Смена заднего фона","","Време промене позадине","","Thời gian thay background","","Timón dó fundaská várkén","","Kdy změnit pozadí","","Heure de changement d'arrière-plan","","Tempo di modifica dello sfondo","","Frequência de troca de background","","Cuándo se cambia el Fondo",""
"Parallax",37605414629376,"","Parallax","","Parallax","","Parallax","","Paralax","","パララックス","","Meowss effect","","Paralaksa","","Параллакс","","Паралакс","","Nền parallax","","Paralák","","Paralaxa","","Parallaxe","","Parallasse","","Paralaxe","","Paralaje",""
"Snow
",37869047607296,"","Snijeg","","Snow
","","Schnee","","Salju","","雪","","brrrrrrrrr","","Śnieg","","Снег","","Снег","","Tuyết","","Snívar","","Sníh","","Neige","","Nevicare","","Neve","","Nieve",""
"Upload Background",38131267104768,"","Prilagodi pozadinu (slika ili video)","","Upload Background (Image or Video)","","Lade Hintergrund hoch (Bild oder Video)","","Upload Latar belakang (Gambar atau video)","","拝啓アップロード (イメージかビジオか)","","cat photos? YAY","","Prześlij tło (zdjęcie lub film)","","Загрузить фон (изображение или видео)","","Постави позадину (слика или видео)","","Đăng hình nền (Ảnh hoặc video)","","Uplodán fundaská (imáge an vidéa)","","Nahrát pozadí (Fotka nebo video)","","Télécharger l'arrière-plan (image ou vidéo)","","Carica sfondo","","Carregar background (imagem ou vídeo)","","Subir Fondo (imagen o video)",""
"Fun settings",40729747484672,"","Zabavne postavke","","Fun settings","","Spass Einstellungen","","Pengaturan seru","","楽しい設定","","Funsies!!","","Ustawienia ""dla fanu""","","Забавные настройки","","Забавне поставке","","Cài đặt bass","","Skeytár amúza","","Zábavné nastavení","","Paramètres amusants","","Impostazioni divertenti","","Configurações divertidas","","Configuración - Diversión",""
"Bass",40986791211008,"","Bass","","Bass booster","","Bassverstärker","","Bass booster","","ベースブースト","","Bass boom boom!","","Boost basu","","Бассбуст","","Басс","","Tăng bass","","Baz bóstar","","Zesilovač basu","","Amplificateur de basses","","Basso","","Intensificar graves","","Amplificador del bajo",""
"Bass gain",41289854840832,"","Jačina basse","","Bass gain","","Bassverstärkung","","Bass booster","","ベースゲイン","","louder meows!","","Wzmocnienie basu","","Бассгейн","","Јачина басс-а","","Tăng âm lượng bass","","Baz gánar","","Zisk basu","","Gain des basses","","Guadagno dei bassi","","Mais graves","","Ganancia del bajo",""
"Maintenance",41482788630528,"","Održavanje","","Maintenance","","Wartung","","Maintenance","","保守","","scawwy stuff :(","","Zarządzanie","","Управление","","Одржавање","","Cài đặt hỗ trợ bảo trì","","Mantenánsa","","Údržba","","Entretien","","Manutenzione","","Manutenção","","Mantenimiento",""
"Remove maps",42188836794368,"","Izbriši sve levele","","Remove all custom maps","","Lösche alle benutzerdefinerten Maps","","Hapus semua level kustom","","カストムレベルを消す","","bye maps!","","Usuń wszystkie poziomy własne","","Удалить все скачанные карты","","Избриши све ""custom"" мапе","","Xóa các map người dùng","","Rémovón al dó persónár mapa","","Vymazat všechny mapy","","Supprimer toutes les cartes personnalisées","","Rimuovi tutte le mappe personalizzate","","Remover todos os mapas customizados","","Eliminar todos los mapas personalizados",""
"Reset all of your data",42379153338368,"","Resetiraj sve vlastite podatke","","Reset all of your data","","Lösche alle Spieler Daten","","Reset semua player data","","プレイヤーデータを消す","","start fresh!","","Zresetuj wszystkie dane gracza","","Сбросить все данные игрока","","Избриши податке играча","","Đặt lại dữ liệu người chơi","","Resétón al dó dátón dó jokár","","Resetovat všechny data hráče","","Réinitialiser toutes vos données","","Reimposta tutti i tuoi dati","","Resetar todos os dados de jogador","","Reiniciar todos los datos del jugador",""
"Check for Updates",42804887777280,"","Provjeri za update-e","","Check for updates","","Überprüfen nach Updates","","Cek update ","","アップデートを探す","","New thing?","","Sprawdź aktualizacje","","Проверить обновления","","Провери за update-e","","Kiểm tra update","","Testén an ákttulizón","","Zkontrolovat aktualizace","","Rechercher des mises à jour","","Controlla gli aggiornamenti","","Procurar por updates","","Revisar para actualizaciones",""
"Objects",43039567474688,"","Objekti","","Objects","","Objekte","","Objek","","オブジェクト","","thingies","","Obiekty","","Объекты","","Објекти","","Các khối vuông","","Objektón","","Objekty","","Objets","","Oggetti","","Objetos","","Objetos",""
"Player HP",44204417970176,"","Igračev HP","","Player HP","","Spieler LP","","Player HP","","プレイヤー体力","","how nmeow","","HP gracza","","ХП игрока","","Играчев HP","","HP người chơi","","Vítar dó jokár","","Život hráče","","HP du joueur","","Giocatore HP","","PV de jogador","","HP del jugador",""
"Object size",44553841242112,"","Veličina","","Size","","Größe","","Ukuran","","大きさ","","big","","Rozmiar","","Размер","","Величина","","Kích cỡ","","Dimensió","","Velikost","","Taille","","Dimensioni dell'oggetto","","Tamanho","","Tamaño",""
"Leaderboard",44862596542464,"","LJESTVICA","","LEADERBOARD","","BESTENLISTE","","PERINGKAT","","リーダボード","","wins!!","","TABELA WYNIKÓW","","ЛИДЕРБОАРД","","ЉЕСТВИЦА","","BẢNG ĐIỂM","","TABELÁR RÉGÁL","","ŽEBŘÍČEK","","CLASSEMENT","","CLASSIFICA","","CLASSIFICAÇÕES","","TABLA DE CLASIFICACIÓN",""
"Your levels",45690346631168,"","Tvoji leveli","","Your levels","","Deine Levels","","Level anda","","あなたのレベル","","ur meows!","","Własne poziomy","","Твои уровни","","Твоји левели","","Màn của bạn","","Levél dó tú","","Vaše levely","","Vos niveaux","","I tuoi livelli","","Seus níveis","","Tus niveles",""
"New level",46491345448960,"","Novi","","New","","Neu","","Baru","","新作","","meow","","Nowy","","Новый","","Нови","","Mới","","Nové","","Nový","","Nouveau","","Nuovo livello","","Novo","","Nuevo",""
"Create new level",46977377202176,"","Izradi novi level","","Create new level","","Erstelle ein neues Level","","Buat level baru","","新しいレベルを作る","","make meow!!!","","Stwórz własny poziom","","Создать новый уровень","","Направи нови левел","","Tạo màn mới","","Kreá nové levél","","Vytvořit nový level","","Créer un nouveau niveau","","Crea nuovo livello","","Criar novo nível","","Crear nuevo nivel",""
"Select song",47223498960896,"","Izaberi pjesmu","","Select song","","Wähle ein Lied aus","","Pilih lagu","","曲選択","","Meow song","","Wybierz piosenkę","","Выбрать песню","","Изабери песму","","Chọn bài nhạc","","Chosén sólíra","","Vybrat hudbu","","Sélectionnez une chanson","","Seleziona brano","","Selecione uma música","","Seleccionar una canción",""
"Options",2246076816535552,"","postavke","","options","","einstellungen","","opsi","","設定","","change meow!","","opcje","","oпции","","поставке","","cài đặt","","skeytár","","nastavení","","paramètres","","impostazioni","","opções","","opciones",""
"Change the way your level works",2246175391068160,"","Promijeni način kako tvoj level radi","","Change the way your level works","","Ändere wie dein Level funktioniert","","Ubah cara kerja level","","レベルの仕方を変える","","change how level meopws","","Zmień wygląd poziomu","","Изменить как работает твой уровень","","Промени начин радње левела","","Thay đổi cách màn của bạn hoạt động","","Shrávê dó levéla šivrá dó fonktra","","Změnit jak váš level funguje","","Changez le fonctionnement de votre niveau","","Cambia il modo in cui funziona il tuo livello","","Mudar o jeito que seu nível funciona","","Cambia cómo tu nivel funciona",""
"Level settings",2246360406011904,"","Postavke levela","","Level settings","","Stufeeinstellungen","","Pengaturan level","","レベル設定","","Adjust things!","","Ustawienia poziomu","","Настройки уровня","","Поставке левела","","Cài đặt màn","","Skeytár levéla","","Nastavení levelu","","Paramètres de niveau","","Impostazioni di livello","","Configurações do nível","","Configuración - Nivel",""
"Level Name",2246385106268160,"","Ime levela","","Level Name","","Stufename","","Nama Level","","レベル名前","","meow name?","","Nazwa poziomu","","Название уровня","","Име левела","","Tên màn","","Nomé levéla","","Jméno levelu","","Nom du niveau","","Nome del livello","","Nome do nível","","Nombre del nivel",""
"Level Creator",2246414898409472,"","Kreator levela","","Level Creator","","Stufe Gestalter","","Kreator level","","レベル作者","","meow maker?","","Kreator poziomu","","Редактор уровней","","Правитељ левела","","Tác giả màn","","Kréatór levéla","","Tvůrce levelu","","Créateur de niveau","","Creatore di livelli","","Criador do nível","","Creador del nivel",""
"Level Creator (Romanized)",2246431407190016,"","Kreator levela (Latinica)","","Level Creator (Romanized)","","Stufe Gestalter (romanisiert)","","Kreator level (Latin)","","レベル作者 (ローマ字綴り)","","meow maker roman?","","Kreator poziomu (zromanizowane)","","Редактор уровней (латинский)","","Правитељ левела (Латиница)","","Tác giả màn (Romaji)","","réatór levéla (Romanírka)","","Tvůrce levelu (Romanizováno)","","Créateur de niveaux (romanisé)","","Creatore di livelli (romanizzato)","","Criador do nível (Romanizado)","","Creador del nivel (Romanizado)",""
"Calculate Song BPM",2246453452451840,"","Izračunaj BPM pjesme","","Calculate Song BPM","","Berechne Lied BPM","","Menghitung BPM lagu","","曲テンポを割り出す","","meow bpm","","Oblicz BPM piosenki","","Рассчитать BPM песни","","Измери BPM песме","","Tính BPM của nhạc","","Kalkyúl dó BPM tóntra","","Vypočítat BPM písně","","Calculer le BPM d'une chanson","","Calcola BPM della canzone","","Calcular BPM da música","","Calcular el BPM de la Canción",""
"Spawn BPM Markers",2246468149293056,"","Stvori markere beat-a","","Spawn BPM Markers","","Zeige BPM Markierungen","","Munculkan Petanda BPM","","テンポマーカーをスポーンする","","meow bpm spawn","","Wygeneruj znaczniki BPM","","Создать маркеры BPM","","Створи BPM маркере","","Tạo các mốc BPM","","Spána BPM markóra","","Vytvořit BPM značky","","Marqueurs BPM Spawn","","Genera marcatori BPM","","Gerar marcadores de BPM","","Crear Marcadores de BPM",""
"Background
",2246745174683648,"","Pozadina","","Background","","Hintergrund","","Latar","","背景","","uwu","","obraz","","Фон","","Позадина","","Lý lịch","","Bákron","","Pozadí","","Arrière-plan","","Sfondo","","Fundo","","Fondo",""
"Ground",2247211304464384,"","Pod","","Ground","","Grund","","Lantai","","大地","","owo","","Ziemia","","Земля","","Под","","Mặt đất","","Zemná","","Zem","","Sol","","Terra","","Chão","","Suelo",""
"Background Preview",2247231307100160,"","Izgled pozadine","","Background Preview","","Hintergrund-Vorschau","","Pratinjau Latar Belakang","","背景プリビュー","","meow previews","","Podgląd tła","","Предпросмотр заднего фона","","Преглед позадине","","Xem trước hình nền","","Přéva dó bakgrónda","","Náhled pozadí","","Aperçu de l'arrière-plan","","Anteprima dello sfondo","","Preview de background","","Vista previa del fondo",""
"Difficulty Settings",2247244460437504,"","Postavke težine","","Difficulty Settings","","Schwierigkeits Einstellungen","","Pengaturan kesulitan","","難易度","","hard meow,,,","","Ustawienia trudności","","Настройки сложности","","Поставке тежине","","Cài đặt độ khó","","Skeytár difíkulty","","Nastavení obtížnosti","","Paramètres de difficulté","","Impostazioni di difficoltà","","Configurações de dificuldade","","Configuración - Dificultad",""
"Cube size",2247283312275456,"","Veličina kocke","","Cube size","","Würfel größe","","Ukuran kubus","","キューブ大きさ","","big or small nya~","","Rozmiar kostki","","Размер кубов","","Величина коцке","","Kích cỡ khối vuông","","Sajza dó kúna","","Velikost kostky","","Taille du cube","","Dimensione del cubo","","Tamanho das caixas","","Tamaño del cubo",""
"Song settings",2247300961906688,"","Postavke pjesme","","Song settings","","Lied Einstellungen","","Pengaturan lagu","","曲設定","","tweak song meow","","Ustawienia piosenki","","Настройки песни","","Поставке песме","","Cài đặt nhạc","","Skeytár tóntra","","Nastavení hudby","","Paramètres de la chanson","","Impostazioni della canzone","","Configurações da música","","Configuración - Canción",""
"Song Artist",2247321564327936,"","Kompozer pjesme","","Song Artist","","Lied Künstler","","Artis lagu","","作曲家","","who meows?","","Artysta piosenki","","Исполнитель","","Правитељ песме","","Nghệ sĩ","","Artísta tóntra","","Autor písně","","Artiste de la chanson","","Artista della canzone","","Artista da música","","Artista de la canción",""
"Song Artist (Romanized)",2247342401630208,"","Kompozer pjesme (Latinica)","","Song Artist (Romanized)","","Lied Künstler (romanisiert)","","Artis lagu (Latin)","","作曲家 (ローマ字綴り)","","who meows roman?","","Artysta piosenki (zromanizowane)","","Исполнитель (латинский)","","Правитељ песме (Латиница)","","Nghệ sĩ (Romaji)","","Artísta tóntra (Romanírka)","","Autor písně (Romanizováno)","","Artiste de la chanson (romanisée)","","Artista della canzone (romanizzato)","","Artista da música (Romanizado)","","Artista de la canción (Romanizado)",""
"Song name",2247355554967552,"","Ime pjesme","","Song name","","Lied Name","","Nama lagu","","曲名前","","song meow name","","Nazwa piosenki","","Название","","Име песме","","Tên bài nhạc","","Nomé tóntra","","Název písně","","Nom de la chanson","","Nome della canzone","","Título da música","","Nombre de la canción",""
